"videoId","textDisplay","textOriginal","authorDisplayName","authorProfileImageUrl","authorChannelUrl","authorChannelId.value","canRate","viewerRating","likeCount","publishedAt","updatedAt","id","parentId","moderationStatus"
"Se28XHI2_xE","Thanx mam it really help ful❤️","Thanx mam it really help ful❤️","Mohmmed Jilani babu","https://yt3.ggpht.com/ytc/AL5GRJVKePz1Z_7MkbQl0eaBqjKcr6EoYpJYs1_0G06t1w=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UChBGBS6N6O-gl1VkF564Tzg","UChBGBS6N6O-gl1VkF564Tzg","TRUE","none","1","2021-08-11T07:07:42Z","2021-08-11T07:07:42Z","UgyRTa-FbQCd47KNn6R4AaABAg",NA,NA
"Se28XHI2_xE","I&#39;m a little sad the last video is from 2018. I whish there were  mre of these..","I'm a little sad the last video is from 2018. I whish there were  mre of these..","Hristina Nacheva","https://yt3.ggpht.com/ytc/AL5GRJXSGg9V4V-whjnH1-nL3fJcVHCcy3GxCGxPhw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UChPFl-CNDT2cuY8ED8yg1oA","UChPFl-CNDT2cuY8ED8yg1oA","TRUE","none","0","2021-08-05T09:20:50Z","2021-08-05T09:20:50Z","Ugx01YM13zF9u1z_3R94AaABAg",NA,NA
"Se28XHI2_xE","That was very good and helpful, thank you :)","That was very good and helpful, thank you :)","Sneha Chitre","https://yt3.ggpht.com/ytc/AL5GRJUaeGhVnes_1UfHcCFBce5IQIK8MfjGnvgrjTDuCQ=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCwfdpzjZ7dMBzxfNrUwv-xQ","UCwfdpzjZ7dMBzxfNrUwv-xQ","TRUE","none","0","2021-07-10T16:31:53Z","2021-07-10T16:31:53Z","Ugz_JycPX5FeNK9HOe54AaABAg",NA,NA
"Se28XHI2_xE","Data Science wednesday... love it ha ha.. Thank you for the video.","Data Science wednesday... love it ha ha.. Thank you for the video.","Steven Wilson","https://yt3.ggpht.com/ytc/AL5GRJUp3Tw9UjbYAXEeEZRvn5jfQR675u4oM-d4nZ43=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCPVSRtI8sET0ZpSSvpDoGRw","UCPVSRtI8sET0ZpSSvpDoGRw","TRUE","none","0","2021-06-18T17:01:00Z","2021-06-18T17:01:00Z","Ugyxo7mn5o43D2HZ-ax4AaABAg",NA,NA
"Se28XHI2_xE","Great great great explanation!!! You saved my life. Thank you soooo very much! and agree about very cool energies!! :)","Great great great explanation!!! You saved my life. Thank you soooo very much! and agree about very cool energies!! :)","Mayra Medina","https://yt3.ggpht.com/ytc/AL5GRJVnmVyWkZcL0MD6HY3qmFAL4jUCapSWrSD8ww=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC68DjMj0K0Go-5XxQS0UzWQ","UC68DjMj0K0Go-5XxQS0UzWQ","TRUE","none","0","2021-06-14T01:48:27Z","2021-06-14T01:48:27Z","Ugwb2_u92YVxIIbfNdR4AaABAg",NA,NA
"Se28XHI2_xE","thank you!","thank you!","cian cian","https://yt3.ggpht.com/ytc/AL5GRJUX5-gPU4vqT9bWPzCKoFLh6lUTUptco-YnbaQP=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCD7DY-TD3TM3cFGky-qZnUw","UCD7DY-TD3TM3cFGky-qZnUw","TRUE","none","0","2021-06-04T10:13:04Z","2021-06-04T10:13:04Z","UgyL9tHrDRamo3FRF5F4AaABAg",NA,NA
"Se28XHI2_xE","very helpful..................my DREAMS from Somalia","very helpful..................my DREAMS from Somalia","Ayub A Alim","https://yt3.ggpht.com/ytc/AL5GRJWBt_ezCKjLUmNaGeAdOJ_MoDLjub5Aw-2C7g=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCNGHNtTUjM_Z8hOviVd3iNw","UCNGHNtTUjM_Z8hOviVd3iNw","TRUE","none","0","2021-05-26T01:34:15Z","2021-05-26T01:34:15Z","Ugw5TjrblaRVm_0nj254AaABAg",NA,NA
"Se28XHI2_xE","Nicely presented.","Nicely presented.","Dean Conis","https://yt3.ggpht.com/ytc/AL5GRJWAdMwDdMsvdtgIDrz5w7_sct0gceK5CQEk1jcLpn0=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UCwcHDtpjw6VF5KCGZJuDFrg","UCwcHDtpjw6VF5KCGZJuDFrg","TRUE","none","0","2021-05-05T11:48:25Z","2021-05-05T11:48:25Z","UgwooD-Hbxrn6p32eXV4AaABAg",NA,NA
"Se28XHI2_xE","thank you for you time","thank you for you time","Yassir Acharki","https://yt3.ggpht.com/ytc/AL5GRJUcxw4DgYCm_KNb6HwhBxHzjlsTNtzKlivWLoUuzw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC5UyqNPmzNPALs86yhsrzxQ","UC5UyqNPmzNPALs86yhsrzxQ","TRUE","none","0","2021-03-09T19:33:31Z","2021-03-09T19:33:42Z","Ugxq9d5tYfTDueA071l4AaABAg",NA,NA
"Se28XHI2_xE","is connectivity clustering = hierarchical clustering ???","is connectivity clustering = hierarchical clustering ???","Yassir Acharki","https://yt3.ggpht.com/ytc/AL5GRJUcxw4DgYCm_KNb6HwhBxHzjlsTNtzKlivWLoUuzw=s48-c-k-c0x00ffffff-no-rj","http://www.youtube.com/channel/UC5UyqNPmzNPALs86yhsrzxQ","UC5UyqNPmzNPALs86yhsrzxQ","TRUE","none","0","2021-03-09T19:30:26Z","2021-03-09T19:30:26Z","Ugzz98QMmr8t6uYlcXJ4AaABAg",NA,NA
